Circuit Name,Attack Method,Key Found,Iteration,Time (s)
c432_libar_nolINPclk_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,SAT Attack,Yes,19,0.12798523902893066
c432_libar_1_unrolled.bench,APPSAT Attack,Yes,14,0.1570420265197754
c432_libar_nolINPclk_2_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_2_unrolled.bench,APPSAT Attack,Yes,12,0.18227887153625488
c432_libar_nolINPclk_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_3_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_2_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_4_unrolled.bench,APPSAT Attack,Yes,13,0.38268160820007324
c432_libar_1_unrolled.bench,SWEEP Attack,Yes,12,0.07675385475158691
c432_libar_nolINPclk_7_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_4_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,APPSAT Attack,Yes,15,0.3977792263031006
c432_libar_nolINPclk_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,SWEEP Attack,Yes,14,0.15216541290283203
c432_libar_7_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_5_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,APPSAT Attack,Yes,13,0.4532144069671631
c432_libar_bolINPclk_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,APPSAT Attack,Yes,18,0.6266837120056152
c432_libar_bolINPclk_4_unrolled.bench,SWEEP Attack,Yes,12,0.150620698928833
c432_libar_10_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,SWEEP Attack,Yes,13,0.12924909591674805
c432_libar_3_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_1_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_2_unrolled.bench,SAT Attack,Yes,14,0.08136630058288574
c432_libar_nolINPclk_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,SAT Attack,Yes,19,0.13940095901489258
c432_libar_1_unrolled.bench,APPSAT Attack,Yes,14,0.1519312858581543
c432_libar_nolINPclk_2_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_2_unrolled.bench,APPSAT Attack,Yes,12,0.17896246910095215
c432_libar_3_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_2_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_4_unrolled.bench,APPSAT Attack,Yes,13,0.3659071922302246
c432_libar_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_1_unrolled.bench,SWEEP Attack,Yes,12,0.0769186019897461
c432_libar_nolINPclk_7_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_4_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,APPSAT Attack,Yes,15,0.40337395668029785
c432_libar_nolINPclk_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,SWEEP Attack,Yes,14,0.16251802444458008
c432_libar_nolINPclk_5_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,APPSAT Attack,Yes,18,0.5832030773162842
c432_libar_bolINPclk_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,APPSAT Attack,Yes,13,0.5105159282684326
c432_libar_5_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_7_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,SWEEP Attack,Yes,12,0.16563701629638672
c432_libar_10_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,SWEEP Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,SWEEP Attack,Yes,13,0.1521468162536621
